mentorship_date,student_id,student_firstname,student_lastname,alumni_id,alumni_lastname,alumni_firstname,alumni_program,alumni_job_industry,alumni_phone_no_cell,alumni_phone_no_land,alumni_skill_1,alumni_skill_2
2019-07-11,ak6805,Andriana,Kloser,ar9429,Renee,Abbey,Insurance Management,,464-190-7307,,Salesforce,
2017-04-05,fb1277,Farlay,Birrane,wp4003,Peter,Walsh,Actuarial Science,Lifestyle & Consumer,168-303-3179,,Negotiation,
2018-01-15,wv3801,Wilow,Verni,ha7255,Alessandra,Harper,Sustainability Management,Housing/Real Estate,355-178-2781,,Customer Service,
2016-01-06,rb4044,Rita,Bodle,sn9731,Nicholas,Saunders,Technology Management,Food & Agriculture,899-601-6072,669-649-7674,Organization,
2020-07-09,gz6629,Gerta,Zieme,vh5628,Harry,Ventura,Sports Management,Governance,919-214-9720,911-105-5872,Negotiation,
2016-01-07,cm3367,Charlot,Mc Giffin,vb7977,Belinda,Vaughn,Actuarial Science,Aerospace and Defense,253-274-7609,147-736-9608,Shipping,
2016-02-11,gb2395,Garth,Brilon,hm7100,Mary,Harrington,Enterprise Risk Management,Media,946-878-9892,,Empathy,
2015-08-15,sm1163,Stephen,MacCarter,ao3786,Owen,Abbot,Information Knowledge Strategy,Energy,408-678-0738,,Lead Qualification,
2015-05-13,hf4514,Howard,Fassbender,wp4003,Peter,Walsh,Actuarial Science,Lifestyle & Consumer,168-303-3179,,Negotiation,
2021-08-10,gh2002,Gabriell,Heustace,fh6385,Helen,Foxley,Bioethics,Research & Consulting,244-174-3136,,Management,
2017-10-26,av7303,Antony,Viel,wp4003,Peter,Walsh,Actuarial Science,Lifestyle & Consumer,168-303-3179,,Negotiation,
2017-06-22,cm3960,Chauncey,Magner,sm3807,Mya,Stewart,Construction Administration,Governance,214-712-8023,343-159-1311,Accounting,
2015-01-02,he5574,Hercules,Earpe,gn8809,Nina,Goldsmith,Wealth Management,Housing/Real Estate,689-267-4619,477-138-8514,Decision Making,
2015-05-01,iv2594,Iggie,Vardey,al4878,Leroy,Aldridge,Human Capital Management,Education,309-481-2568,,Organization,
2021-10-16,tk8377,Talyah,Kaveney,hj7691,Judith,Hopkins,Sustainability Management,Food & Agriculture,184-142-6248,,Product Knowledge,
2016-08-12,oh9585,Olive,Hamberston,fj1320,Jacob,Forth,Negotiation and Conflict Resolution,Healthcare,515-926-0819,651-494-2587,Creativity,
2022-01-21,aa4294,Anastassia,Akam,ci8168,Ilona,Callan,Narrative Medicine,Housing/Real Estate,592-368-1269,293-824-4883,Office Equipment,
2017-05-23,qf2235,Quentin,Firminger,jr7218,Rosalyn,Johnson,Sustainability Management,Finance & Investment,765-767-4252,,Lead Qualification,
2020-09-15,yb1853,Yehudit,Beardmore,rc7076,Chadwick,Rossi,Negotiation and Conflict Resolution,,884-799-1563,,Microsoft Offices,
2020-09-19,cb8371,Cayla,Brasener,kr2301,Rachael,Khan,Bioethics,Research & Consulting,768-317-1146,,Data Entry,
2015-05-03,is9134,Isa,Shaylor,tj8264,John,Thorne,Sustainability Management,Governance,877-204-6276,484-930-2160,Billing,
2017-11-04,kp2750,Kennett,Purseglove,dm8372,Maddison,Dickson,Sustainability Management,Lifestyle & Consumer,935-171-1800,393-839-8956,Scheduling,
2018-10-19,sb3699,Sheree,Banville,dm8372,Maddison,Dickson,Sustainability Management,Lifestyle & Consumer,935-171-1800,393-839-8956,Scheduling,
2020-01-16,rf8504,Rivalee,Fenelon,ds6909,Samantha,Dickson,Insurance Management,Environment & Weather,141-526-9524,734-504-9475,Product Knowledge,
2021-10-13,rs1079,Rube,Sailor,sm3807,Mya,Stewart,Construction Administration,Governance,214-712-8023,343-159-1311,Accounting,
2016-01-09,eh8783,Evangelia,Hugonin,ae4475,Eve,Alldridge,Wealth Management,Insurance,268-136-1630,,Lead Prospecting ,
2014-10-19,je2896,Jacky,Ettritch,aa6055,Aeris,Avery,Construction Administration,Food & Agriculture,331-264-5999,,Contract Negotiation,
2017-09-29,bw9557,Bing,Whitworth,oe7927,Emma,Oliver,Bioethics,Governance,821-189-3311,,Management,
2017-04-05,sh6609,Sonny,Handrahan,bj7054,Jackeline,Brown,Insurance Management,Housing/Real Estate,134-532-3258,181-403-1838,Product Knowledge,
2017-04-22,dj2409,Denys,Jeanel,fp5332,Percy,Freeburn,Nonprofit Management,Data/Technology,563-436-4623,307-656-9136,Referral Marketing,STATA
2016-01-28,cc4393,Clerc,Curbishley,mb6076,Bryon,Mason,Wealth Management,Education,517-338-4892,,Customer Needs Analysis,
2020-12-19,md5427,Melissa,Di Franceshci,tj8264,John,Thorne,Sustainability Management,Governance,877-204-6276,484-930-2160,Billing,
2016-04-22,lf4312,Lindie,Fishleigh,rc7076,Chadwick,Rossi,Negotiation and Conflict Resolution,,884-799-1563,,Microsoft Offices,
2020-12-22,fd6835,Franklin,Dalliston,sh2861,Helen,Stanley,Actuarial Science,Environment & Weather,248-534-0302,941-767-1087,Lead Prospecting ,
2019-08-06,ls2770,Lorry,Stainbridge,hj7691,Judith,Hopkins,Sustainability Management,Food & Agriculture,184-142-6248,,Product Knowledge,
2015-11-16,pj7325,Paten,Jacomb,eo6439,Oliver,Edwards,Sports Management,Media,643-753-4622,,Negotiation,
2020-08-20,br5516,Barrie,Rounce,mb6076,Bryon,Mason,Wealth Management,Education,517-338-4892,,Customer Needs Analysis,
2016-04-24,rk1735,Richy,Kirkbride,vt1529,Teagan,Villiger,Human Capital Management,Data/Technology,916-795-1144,533-746-4116,Communication,Machine Learning
2015-06-29,sr6318,Sherman,Rosoman,al4878,Leroy,Aldridge,Human Capital Management,Education,309-481-2568,,Organization,
2017-12-13,is2604,Ingelbert,Shute,lt2316,Tom,Larkin,Wealth Management,Transportation,940-809-6751,,Leadership,
2017-09-18,ml4094,Muriel,Lavelle,vh5628,Harry,Ventura,Sports Management,Governance,919-214-9720,911-105-5872,Negotiation,
2021-10-22,ml2233,Maurice,Logg,ci8168,Ilona,Callan,Narrative Medicine,Housing/Real Estate,592-368-1269,293-824-4883,Office Equipment,
2017-03-30,cg9010,Chere,Gozzett,ds6909,Samantha,Dickson,Insurance Management,Environment & Weather,141-526-9524,734-504-9475,Product Knowledge,
2021-12-12,ts4222,Trey,Stranaghan,vb7977,Belinda,Vaughn,Actuarial Science,Aerospace and Defense,253-274-7609,147-736-9608,Shipping,
2016-01-17,ml1155,Malchy,Lorrimer,fj1320,Jacob,Forth,Negotiation and Conflict Resolution,Healthcare,515-926-0819,651-494-2587,Creativity,
2019-05-20,dg5235,Dulcia,Goodbairn,vh5628,Harry,Ventura,Sports Management,Governance,919-214-9720,911-105-5872,Negotiation,
2018-02-05,cl4062,Caryl,Lawling,fp5332,Percy,Freeburn,Nonprofit Management,Data/Technology,563-436-4623,307-656-9136,Referral Marketing,STATA
2014-06-18,lg9950,Letty,Grisedale,ss1224,Sharon,Simmons,Information Knowledge Strategy,Data/Technology,910-252-8326,,Product Knowledge,R
2018-09-17,gk4966,Giustina,Keener,ds9033,Sofia,Dale,Wealth Management,Transportation,808-174-2639,,Data Entry,
2017-06-05,no8876,Neely,Ockwell,pl5399,Logan,Price,Applied Analytics,Finance & Investment,294-879-8447,874-429-3715,Welcoming Visitors,Java
2017-11-30,lh2710,Lissy,Hiscoke,aa6055,Aeris,Avery,Construction Administration,Food & Agriculture,331-264-5999,,Contract Negotiation,
2021-06-07,ab8233,Allianora,Bicheno,oe7927,Emma,Oliver,Bioethics,Governance,821-189-3311,,Management,
2020-11-28,gr2940,Gene,Ridgedell,ml5050,Logan,Myatt,Human Capital Management,Energy,714-714-1716,,Welcoming Visitors,
2020-05-18,jm3528,Jocelin,Melland,vb7977,Belinda,Vaughn,Actuarial Science,Aerospace and Defense,253-274-7609,147-736-9608,Shipping,
2019-12-13,ed8383,Elwood,Drakes,aa6055,Aeris,Avery,Construction Administration,Food & Agriculture,331-264-5999,,Contract Negotiation,
2018-02-18,ls4961,Leon,Smail,ci8168,Ilona,Callan,Narrative Medicine,Housing/Real Estate,592-368-1269,293-824-4883,Office Equipment,
2018-02-18,ls4961,Leon,Smail,sn9731,Nicholas,Saunders,Technology Management,Food & Agriculture,899-601-6072,669-649-7674,Organization,
2016-04-14,ls7937,Ladonna,Scaddon,ml5050,Logan,Myatt,Human Capital Management,Energy,714-714-1716,,Welcoming Visitors,
2020-01-28,tg8076,Thalia,Garratt,fh6385,Helen,Foxley,Bioethics,Research & Consulting,244-174-3136,,Management,
2020-06-09,rp4416,Rozalin,Prestage,ml5050,Logan,Myatt,Human Capital Management,Energy,714-714-1716,,Welcoming Visitors,
2016-08-05,mm9430,Mart,McClunaghan,eo6439,Oliver,Edwards,Sports Management,Media,643-753-4622,,Negotiation,
2014-12-27,pg3684,Perri,Gever,oe7927,Emma,Oliver,Bioethics,Governance,821-189-3311,,Management,
2019-01-11,eb3200,Emory,Beckley,cr8605,Rosie,Cunningham,Human Capital Management,Media,750-933-3580,141-652-9789,Negotiation,
2021-02-05,mt3738,Morissa,Treslove,vh5628,Harry,Ventura,Sports Management,Governance,919-214-9720,911-105-5872,Negotiation,
2020-09-18,dm4770,Dael,Miles,ed4359,Danielle,Ebden,Negotiation and Conflict Resolution,Media,560-820-6585,,Problem Solving,
2014-10-09,bs3141,Bradley,Sadat,vt1529,Teagan,Villiger,Human Capital Management,Data/Technology,916-795-1144,533-746-4116,Communication,Machine Learning
2016-11-07,bf1482,Benny,Fanthom,gn8809,Nina,Goldsmith,Wealth Management,Housing/Real Estate,689-267-4619,477-138-8514,Decision Making,
2018-10-07,cb5675,Chandler,Bidewel,al4878,Leroy,Aldridge,Human Capital Management,Education,309-481-2568,,Organization,
2018-07-08,lk9334,Lodovico,Klicher,ae4475,Eve,Alldridge,Wealth Management,Insurance,268-136-1630,,Lead Prospecting ,
2019-03-05,gb8819,Gennifer,Best,hm7100,Mary,Harrington,Enterprise Risk Management,Media,946-878-9892,,Empathy,
2015-06-20,gr2632,Gwenny,Robion,le5799,Elle,Long,Sustainability Management,Research & Consulting,713-952-0376,,Office Equipment,
2020-12-17,ec6149,Eadie,Conring,hb3765,Brad,Henderson,Human Capital Management,Geospatial/Mapping,819-201-4344,323-443-5956,Critical Thinking,
2019-01-19,kz5227,Konstantin,Zebedee,tj8264,John,Thorne,Sustainability Management,Governance,877-204-6276,484-930-2160,Billing,
2018-04-03,ue8997,Ulises,Ewer,ae4475,Eve,Alldridge,Wealth Management,Insurance,268-136-1630,,Lead Prospecting ,
2021-05-29,lc4648,Lorry,Culbard,tm2646,Maia,Taylor,Sustainability Science,Finance & Investment,577-947-3418,,Accounting,
2016-11-11,jb4441,Jervis,Badcock,oe7927,Emma,Oliver,Bioethics,Governance,821-189-3311,,Management,
2022-02-28,sp2374,Sophi,Pettie,dm8372,Maddison,Dickson,Sustainability Management,Lifestyle & Consumer,935-171-1800,393-839-8956,Scheduling,
2015-04-15,hg3770,Hilton,Goom,vh5628,Harry,Ventura,Sports Management,Governance,919-214-9720,911-105-5872,Negotiation,
2020-08-04,dc9465,Deni,Corryer,lt9962,Taylor,Little,Narrative Medicine,Healthcare,326-248-3687,,Self Motivation,
2022-02-08,rb8248,Rivkah,Belchem,tm2646,Maia,Taylor,Sustainability Science,Finance & Investment,577-947-3418,,Accounting,
2019-04-02,yr2844,Yuma,Rupke,ed4359,Danielle,Ebden,Negotiation and Conflict Resolution,Media,560-820-6585,,Problem Solving,
2021-11-21,jq7226,Jess,Quinane,fa3056,Allison,Farrow,Human Capital Management,Food & Agriculture,208-134-1450,482-883-8167,Lead Qualification,
2016-12-08,gm6772,Guthry,McLanachan,vt1529,Teagan,Villiger,Human Capital Management,Data/Technology,916-795-1144,533-746-4116,Communication,Machine Learning
2017-09-29,bw9557,Bing,Whitworth,pl5399,Logan,Price,Applied Analytics,Finance & Investment,294-879-8447,874-429-3715,Welcoming Visitors,Java
2017-09-04,cp2112,Charis,Perrigo,fj1320,Jacob,Forth,Negotiation and Conflict Resolution,Healthcare,515-926-0819,651-494-2587,Creativity,
2019-03-04,gm8749,Gardner,Mcall,hj7691,Judith,Hopkins,Sustainability Management,Food & Agriculture,184-142-6248,,Product Knowledge,
2016-05-11,nr5790,Niki,Roloff,oe7927,Emma,Oliver,Bioethics,Governance,821-189-3311,,Management,
2020-03-05,cd2265,Carilyn,Dickson,ml5050,Logan,Myatt,Human Capital Management,Energy,714-714-1716,,Welcoming Visitors,
2015-07-10,al9719,Addy,Lipgens,al4878,Leroy,Aldridge,Human Capital Management,Education,309-481-2568,,Organization,
2017-11-04,kp2750,Kennett,Purseglove,hj7691,Judith,Hopkins,Sustainability Management,Food & Agriculture,184-142-6248,,Product Knowledge,
2018-07-10,al8121,Allister,Linggard,hj7691,Judith,Hopkins,Sustainability Management,Food & Agriculture,184-142-6248,,Product Knowledge,
2020-02-05,pv6010,Preston,Veque,lh6514,Harvey,Lynch,Negotiation and Conflict Resolution,Transportation,387-170-5980,,Data Entry,
2018-12-21,ca2504,Chrystel,Aspall,ar9429,Renee,Abbey,Insurance Management,,464-190-7307,,Salesforce,
2020-04-22,ac4719,Adora,Cassar,sm6371,Marilyn,Slater,Wealth Management,Business & Legal Services,458-406-0172,,Negotiation,
2018-08-27,ch8804,Carlye,Haney`,vt1529,Teagan,Villiger,Human Capital Management,Data/Technology,916-795-1144,533-746-4116,Communication,Machine Learning
2015-12-03,mt8122,Merrie,Toohey,wp4003,Peter,Walsh,Actuarial Science,Lifestyle & Consumer,168-303-3179,,Negotiation,
2020-03-31,gc9826,Garnet,Ceresa,al4878,Leroy,Aldridge,Human Capital Management,Education,309-481-2568,,Organization,
2018-03-21,mr1044,Maribeth,Reveley,hm7100,Mary,Harrington,Enterprise Risk Management,Media,946-878-9892,,Empathy,
2019-11-22,es5924,Ennis,Squires,vt1529,Teagan,Villiger,Human Capital Management,Data/Technology,916-795-1144,533-746-4116,Communication,Machine Learning
2019-04-04,cs4092,Cristin,Spandley,fa3056,Allison,Farrow,Human Capital Management,Food & Agriculture,208-134-1450,482-883-8167,Lead Qualification,
2018-07-10,al8121,Allister,Linggard,bj7054,Jackeline,Brown,Insurance Management,Housing/Real Estate,134-532-3258,181-403-1838,Product Knowledge,
2018-11-08,tc1032,Trev,Clark,oe7927,Emma,Oliver,Bioethics,Governance,821-189-3311,,Management,
2019-03-12,fb1456,Free,Bursnoll,rc7076,Chadwick,Rossi,Negotiation and Conflict Resolution,,884-799-1563,,Microsoft Offices,
2017-03-31,aa2072,Alvie,Akid,ds6909,Samantha,Dickson,Insurance Management,Environment & Weather,141-526-9524,734-504-9475,Product Knowledge,
2020-05-26,ms9839,Marlowe,Seary,nk7657,Kurt,Neal,Information Knowledge Strategy,Environment & Weather,905-951-5322,,Scheduling,
2016-04-13,ds8894,Damaris,Shermar,al4878,Leroy,Aldridge,Human Capital Management,Education,309-481-2568,,Organization,
2020-09-30,bs4446,Benny,Scutter,lt2316,Tom,Larkin,Wealth Management,Transportation,940-809-6751,,Leadership,
2021-10-30,tp3038,Thomasina,Purver,hm7100,Mary,Harrington,Enterprise Risk Management,Media,946-878-9892,,Empathy,
2020-06-28,nd9804,Nial,Dzeniskevich,nk7657,Kurt,Neal,Information Knowledge Strategy,Environment & Weather,905-951-5322,,Scheduling,
2016-04-14,le6070,Loreen,Ennals,ci8168,Ilona,Callan,Narrative Medicine,Housing/Real Estate,592-368-1269,293-824-4883,Office Equipment,
2020-04-21,fc1329,Farris,Charte,aa6055,Aeris,Avery,Construction Administration,Food & Agriculture,331-264-5999,,Contract Negotiation,
2018-09-03,rt3656,Rozalin,Trengove,ha7255,Alessandra,Harper,Sustainability Management,Housing/Real Estate,355-178-2781,,Customer Service,
2020-10-21,pw7347,Prue,Wickman,le5799,Elle,Long,Sustainability Management,Research & Consulting,713-952-0376,,Office Equipment,
2017-02-26,vr7075,Valerie,Rachuig,lt9962,Taylor,Little,Narrative Medicine,Healthcare,326-248-3687,,Self Motivation,
2020-08-11,gb6225,Gabriel,Boxhill,aa6055,Aeris,Avery,Construction Administration,Food & Agriculture,331-264-5999,,Contract Negotiation,
2017-07-26,jb8379,Juanita,Biever,lt9962,Taylor,Little,Narrative Medicine,Healthcare,326-248-3687,,Self Motivation,
2015-01-09,jp5929,Jammie,Presley,tm2646,Maia,Taylor,Sustainability Science,Finance & Investment,577-947-3418,,Accounting,
2020-04-11,ae4257,Adriaens,Edgcombe,le5799,Elle,Long,Sustainability Management,Research & Consulting,713-952-0376,,Office Equipment,
2017-07-04,mg6885,Mercy,Gaze,ml5050,Logan,Myatt,Human Capital Management,Energy,714-714-1716,,Welcoming Visitors,
2017-04-30,ld9538,Leone,Dunsmuir,le5799,Elle,Long,Sustainability Management,Research & Consulting,713-952-0376,,Office Equipment,
2019-03-05,gb8819,Gennifer,Best,cr8605,Rosie,Cunningham,Human Capital Management,Media,750-933-3580,141-652-9789,Negotiation,
2020-06-05,kg3216,Kellina,Gerin,ci8168,Ilona,Callan,Narrative Medicine,Housing/Real Estate,592-368-1269,293-824-4883,Office Equipment,
2019-08-15,ab5741,Aimee,Bauser,gn8809,Nina,Goldsmith,Wealth Management,Housing/Real Estate,689-267-4619,477-138-8514,Decision Making,
2017-07-07,jd4296,Jenilee,Dalgarnowch,sm6371,Marilyn,Slater,Wealth Management,Business & Legal Services,458-406-0172,,Negotiation,
2021-11-10,lk8463,Luce,Kinahan,ml5050,Logan,Myatt,Human Capital Management,Energy,714-714-1716,,Welcoming Visitors,
2020-04-11,ae4257,Adriaens,Edgcombe,fh6385,Helen,Foxley,Bioethics,Research & Consulting,244-174-3136,,Management,
2022-04-02,aa9285,Alexia,Aylward,pe4593,Elise,Patel,Construction Administration,Governance,240-849-6971,,Accounting,
2019-12-08,eo4069,Edvard,Odgers,mb6076,Bryon,Mason,Wealth Management,Education,517-338-4892,,Customer Needs Analysis,
2016-11-11,mr6373,Merralee,Riden,ds6909,Samantha,Dickson,Insurance Management,Environment & Weather,141-526-9524,734-504-9475,Product Knowledge,
2016-11-07,bf1482,Benny,Fanthom,fh6385,Helen,Foxley,Bioethics,Research & Consulting,244-174-3136,,Management,
2021-12-12,ts4222,Trey,Stranaghan,nk7657,Kurt,Neal,Information Knowledge Strategy,Environment & Weather,905-951-5322,,Scheduling,
2018-05-09,dw8568,Dev,Worshall,hd4260,Danny,Hale,Sustainability Science,Healthcare,916-934-9218,748-555-1548,Office Equipment,
2016-10-23,rv6163,Rubina,Vail,rc7076,Chadwick,Rossi,Negotiation and Conflict Resolution,,884-799-1563,,Microsoft Offices,
2017-01-18,db3643,Dulsea,Beauchamp,lt2316,Tom,Larkin,Wealth Management,Transportation,940-809-6751,,Leadership,
2021-08-02,es1727,Essa,Sachno,ci8168,Ilona,Callan,Narrative Medicine,Housing/Real Estate,592-368-1269,293-824-4883,Office Equipment,
2016-05-13,jp3970,Jocko,Padbury,ar9429,Renee,Abbey,Insurance Management,,464-190-7307,,Salesforce,
2018-10-26,db2113,Dallas,Bonallack,sm6371,Marilyn,Slater,Wealth Management,Business & Legal Services,458-406-0172,,Negotiation,
2017-03-26,cg8799,Cris,Grenshields,gn8809,Nina,Goldsmith,Wealth Management,Housing/Real Estate,689-267-4619,477-138-8514,Decision Making,
2021-06-02,mk5978,Meridith,Kinnard,va8834,Adalind,Vass,Narrative Medicine,Education,231-989-5471,,Office Equipment,
2021-09-11,md1350,Merilyn,Dutnell,eo6439,Oliver,Edwards,Sports Management,Media,643-753-4622,,Negotiation,
2015-08-08,yg2691,Yorgo,Gale,pl5399,Logan,Price,Applied Analytics,Finance & Investment,294-879-8447,874-429-3715,Welcoming Visitors,Java
2015-12-18,tb2712,Theresa,Boddice,kr2301,Rachael,Khan,Bioethics,Research & Consulting,768-317-1146,,Data Entry,
2019-03-21,ce9146,Caye,Ellph,gn8809,Nina,Goldsmith,Wealth Management,Housing/Real Estate,689-267-4619,477-138-8514,Decision Making,
2021-11-10,lk8463,Luce,Kinahan,hb3765,Brad,Henderson,Human Capital Management,Geospatial/Mapping,819-201-4344,323-443-5956,Critical Thinking,
2017-03-13,ad3150,Avram,Dionisi,vt1529,Teagan,Villiger,Human Capital Management,Data/Technology,916-795-1144,533-746-4116,Communication,Machine Learning
2018-05-14,cb6823,Catharina,Braybrookes,sm6371,Marilyn,Slater,Wealth Management,Business & Legal Services,458-406-0172,,Negotiation,
2019-07-10,ks6400,Kamillah,Salle,sn9731,Nicholas,Saunders,Technology Management,Food & Agriculture,899-601-6072,669-649-7674,Organization,
2019-08-11,as6736,Athena,Shea,hb3765,Brad,Henderson,Human Capital Management,Geospatial/Mapping,819-201-4344,323-443-5956,Critical Thinking,
2016-10-25,cd3680,Cariotta,De Vaar,bs8134,Sebastian,Bayliss,Bioethics,Geospatial/Mapping,264-949-6091,333-428-8165,Contract Negotiation,
2022-06-11,bc4712,Bettye,Cristofari,gn8809,Nina,Goldsmith,Wealth Management,Housing/Real Estate,689-267-4619,477-138-8514,Decision Making,
2020-10-29,et8276,Esther,Tansly,hd8407,Domenic,Howard,Narrative Medicine,Governance,512-880-0798,,Self Motivation,
2018-12-30,am3279,Alessandro,Middler,fa3056,Allison,Farrow,Human Capital Management,Food & Agriculture,208-134-1450,482-883-8167,Lead Qualification,
2015-03-05,am8272,Aloysius,McWhannel,bj7054,Jackeline,Brown,Insurance Management,Housing/Real Estate,134-532-3258,181-403-1838,Product Knowledge,
2017-09-03,kg4100,Kim,Goodbairn,ss1224,Sharon,Simmons,Information Knowledge Strategy,Data/Technology,910-252-8326,,Product Knowledge,R
2017-05-06,jc1829,Jasmine,Colls,pl5399,Logan,Price,Applied Analytics,Finance & Investment,294-879-8447,874-429-3715,Welcoming Visitors,Java
