student_id,last_name,first_name,city,state,country,program,graduation term,graduation year,phone_no_cell,phone_no_land,skill_1,skill_2,work_city,work_country,job_type,industry
mg5160,Gossart,Melonie,Santa Cruz,California,United States,Nonprofit Management,Spring,2017,578-790-4692,560-120-2574,Decision Making,,Santiago - Chile,Chile,Summer classes,Housing/Real Estate
ac2336,Craig,Austina,Denton,Texas,United States,Sustainability Science,Fall,2021,566-445-0941,,Referral Marketing,,Wilmington - DE,United States (USA),Fellowship,Food & Agriculture
mg7827,Goracci,Morena,Daytona Beach,Florida,United States,Bioethics,Fall,2019,391-779-8443,,Problem Solving,,Dublin - Ireland,Ireland,Internship,Media
ld6139,Duckham,Lolita,Bronx,New York,United States,Sustainability Science,Summer,2022,990-437-9702,765-450-9827,Problem Solving,,Miami - FL,United States (USA),Still Seeking Internship,Governance
hm4038,McKinstry,Hewett,Decatur,Georgia,United States,Enterprise Risk Management,Fall,2019,432-532-5649,,Public Speaking,,Munich - Germany,Germany,Military Service,Governance
ae7182,Enrique,Alanah,Los Angeles,California,United States,Negotiation and Conflict Resolution,Fall,2021,556-313-6528,649-606-9640,Customer Service,,Houston - TX,United States (USA),Fellowship,Media
nh1923,Harbidge,Nilson,Newark,Delaware,United States,Wealth Management,Spring,2021,722-727-9973,436-517-6459,Scheduling,,Hangzhou - China,China Mainland,Research,Media
cg8799,Grenshields,Cris,New York City,New York,United States,Construction Administration,Summer,2017,149-721-8394,,Problem Solving,,Santiago - Chile,Chile,Job,Governance
ym4697,McGaughie,Yetty,Springfield,Massachusetts,United States,Technology Management,Spring,2017,673-885-2073,394-350-6792,Management,,Columbus - OH,United States (USA),Research,Governance
do4984,Oleksinski,Desiri,Ocala,Florida,United States,Narrative Medicine,Summer,2016,256-775-2497,,Customer Needs Analysis,,Toronto - ON - Canada,Canada,Other Intentions,Housing/Real Estate
pv6010,Veque,Preston,Ocala,Florida,United States,Wealth Management,Spring,2021,153-673-2233,153-884-0504,Microsoft Offices,,Santa Monica - CA,United States (USA),Job,Lifestyle & Consumer
av3800,Van Arsdall,Arlyne,Peoria,Illinois,United States,Construction Administration,Fall,2022,925-731-5024,,Salesforce,,White Plains - NY,United States (USA),Other Intentions,Finance & Investment
ss2421,Stanton,Sophi,Denton,Texas,United States,Strategic Communication,Fall,2018,542-287-2696,175-204-1456,Management,,Washington - DC,United States (USA),Postponing job search,Aerospace and Defense
dm4770,Miles,Dael,Torrance,California,United States,Strategic Communication,Fall,2020,705-172-4979,,Collaboration,,Richardson - TX,United States (USA),Graduate School,Data/Technology
pr6065,Rappoport,Paule,Atlanta,Georgia,United States,Nonprofit Management,Summer,2022,714-288-0725,,Shipping,,Sao Paulo - Brazil,Brazil,Military Service,Geospatial/Mapping
mt4955,Tschierasche,Marylee,New York City,New York,United States,Sustainability Management,Fall,2016,352-464-6786,,Problem Solving,,Liaocheng - China,China Mainland,Still Seeking Employment,Lifestyle & Consumer
mg9306,Gapp,Minor,New Orleans,Louisiana,United States,Applied Analytics,Summer,2018,723-916-7103,248-564-5706,Shipping,Debugging,Cambridge - MA,United States (USA),Not seeking an internship,Food & Agriculture
ld9538,Dunsmuir,Leone,Newton,Massachusetts,United States,Bioethics,Summer,2018,566-685-1321,425-538-0927,Problem Solving,,Bronx - NY,United States (USA),Fellowship,Energy
pj2704,Juares,Philip,Chandler,Arizona,United States,Wealth Management,Fall,2021,278-680-4538,,Critical Thinking,,Countryside - IL,United States (USA),Still Seeking Education,Data/Technology
dd4970,Degoix,Diahann,Salinas,California,United States,Strategic Communication,Spring,2020,224-291-1552,,Teamwork ,,Columbus - OH,United States (USA),Summer classes,Education
jl6652,Latour,Joelie,Dallas,Texas,United States,Human Capital Management,Summer,2016,613-665-0328,507-249-4873,QuickBooks,,Bethesda - MD,United States (USA),Still Seeking Internship,Finance & Investment
fr9097,Rapaport,Fay,Chicago,Illinois,United States,Narrative Medicine,Summer,2016,637-784-9720,,Lead Prospecting ,,Farmingdale - NY,United States (USA),Still Seeking Employment,Education
mc5672,Coats,Milly,Tacoma,Washington,United States,Insurance Management,Fall,2021,505-266-3451,,Conflict Resolution,,Somerset - NJ,United States (USA),Military Service,Housing/Real Estate
fm9802,Murdy,Fredek,Warren,Ohio,United States,Nonprofit Management,Summer,2019,592-488-2755,,Adaptability,,Beijing - China,China Mainland,Graduate School,Business & Legal Services
mg2430,Gomersall,Maud,Billings,Montana,United States,Information Knowledge Strategy,Summer,2022,203-757-7317,,Collaboration,,shanghai  - China,China Mainland,Graduate School,Business & Legal Services
sp9153,Packham,Sorcha,Jeffersonville,Indiana,United States,Sports Management,Fall,2016,710-544-9283,570-960-5235,Billing,,Providence - RI,United States (USA),Own Venture,Media
rf2250,Fannin,Ryon,Tucson,Arizona,United States,Construction Administration,Spring,2019,517-472-8269,,Organization,,Santa Monica - CA,United States (USA),Summer classes,Data/Technology
th7206,Hanscombe,Tobit,Birmingham,Alabama,United States,Wealth Management,Summer,2016,484-807-6743,157-166-8274,Referral Marketing,,Somerset - NJ,United States (USA),Research,Environment & Weather
mt4757,Todari,Michaella,Grand Junction,Colorado,United States,Enterprise Risk Management,Fall,2020,775-149-8064,264-785-3278,Self Motivation,,Moorestown - NJ,United States (USA),Postponing job search,Energy
jw7283,Webermann,Jeramey,Nashville,Tennessee,United States,Narrative Medicine,Summer,2019,662-901-5828,,Lead Prospecting ,,Phoenix - AZ,United States (USA),Summer classes,Insurance
cb9629,Bruckstein,Carling,Philadelphia,Pennsylvania,United States,Insurance Management,Spring,2019,582-887-2424,428-314-1762,Management,,Beirut - Lebanon,Lebanon,Own Venture,Data/Technology
ks4901,Sinnock,Kamila,Washington,District of Columbia,United States,Human Capital Management,Summer,2016,735-402-2939,,Office Equipment,,Shanghai - China Mainland,China Mainland,Postponing job search,Lifestyle & Consumer
ym4697,McGaughie,Yetty,Springfield,Massachusetts,United States,Technology Management,Spring,2017,673-885-2073,394-350-6792,Management,,Cranbury - NJ,United States (USA),Graduate School,Media
jn4744,Newey,Jarvis,Shreveport,Louisiana,United States,Negotiation and Conflict Resolution,Fall,2017,402-732-0623,,Office Equipment,,Mexico City - Mexico,Mexico,Fellowship,Education
ab5741,Bauser,Aimee,Arlington,Texas,United States,Information Knowledge Strategy,Fall,2019,585-739-9234,,Welcoming Visitors,,Cologne - Germany,Germany,Internship,Housing/Real Estate
jr3390,Rushworth,Jessie,Alexandria,Virginia,United States,Technology Management,Fall,2021,824-255-5678,,Active Listening,,Old Westbury - NY,United States (USA),Graduate School,Education
iv6827,Vakhonin,Ian,North Little Rock,Arkansas,United States,Sports Management,Fall,2021,653-351-4187,,Shipping,,Minneapolis - MN,United States (USA),Postponing job search,Media
mb1024,Boick,Madel,Dallas,Texas,United States,Nonprofit Management,Fall,2019,704-463-0837,585-300-9601,Presentation,,Washington - DC,United States (USA),Research,Finance & Investment
fb6278,Bygraves,Forrester,Indianapolis,Indiana,United States,Applied Analytics,Spring,2018,263-513-6264,195-742-7982,Adaptability,Cloud Management,Hoboken - NJ,United States (USA),Service Organization,Data/Technology
as6112,Shellshear,Athena,Annapolis,Maryland,United States,Nonprofit Management,Spring,2017,235-157-0627,,Problem Solving,,Auburn Hills - MI,United States (USA),Summer classes,Governance
mh8543,Hessentaler,Mitzi,Corona,California,United States,Sports Management,Summer,2019,143-364-3230,,Contract Negotiation,,Mount Kisco - NY,United States (USA),Research,Media
qt7012,Treneer,Quincey,Huntington,West Virginia,United States,Human Capital Management,Summer,2020,577-482-4537,272-816-1512,POS Skills,,Norfolk - VA,United States (USA),Summer classes,Transportation
nw7519,Whimper,Norman,Durham,North Carolina,United States,Negotiation and Conflict Resolution,Summer,2020,792-286-7331,374-542-6313,Collaboration,,Santa Monica - CA,United States (USA),Job,Environment & Weather
al6588,Lathwell,Ania,Madison,Wisconsin,United States,Sustainability Management,Fall,2022,967-544-8910,747-617-3571,POS Skills,,Newark - NJ,United States (USA),Research,Energy
im9432,MacGillacolm,Isaiah,Fresno,California,United States,Enterprise Risk Management,Summer,2021,125-201-6969,406-995-9535,Welcoming Visitors,,Harrison - NY,United States (USA),Still Seeking Education,Insurance
ne8282,Eldritt,Northrop,Louisville,Kentucky,United States,Wealth Management,Summer,2018,199-256-1906,714-483-1987,Teamwork ,,Glastonbury - CT,United States (USA),Still Seeking Education,Research & Consulting
lf8323,Futty,Lovell,Stamford,Connecticut,United States,Strategic Communication,Fall,2017,154-678-4187,,Office Equipment,,Lucknow - India,India,Internship,Food & Agriculture
gf3442,Fendt,Gwenore,Joliet,Illinois,United States,Information Knowledge Strategy,Fall,2019,652-831-9234,,Salesforce,,Herndon - VA,United States (USA),Research,Governance
vh7241,Hobgen,Valentijn,Springfield,Missouri,United States,Human Capital Management,Spring,2021,646-735-0293,,Customer Service,,Hong Kong - China,China Mainland,Other Intentions,Data/Technology
hm4225,McDermid,Hogan,Los Angeles,California,United States,Actuarial Science,Summer,2016,885-952-7806,328-459-5459,Customer Service,,Cranford - NJ,United States (USA),Internship,Environment & Weather
dg9792,Grier,Dyann,Bronx,New York,United States,Construction Administration,Fall,2017,118-657-2468,,Self Motivation,,Cranford - NJ,United States (USA),Research,Scientific Research
lm1698,Mountfort,Lida,Irving,Texas,United States,Narrative Medicine,Spring,2021,900-865-1720,,Customer Needs Analysis,,Miami - FL,United States (USA),Not seeking an internship,Environment & Weather
cc4393,Curbishley,Clerc,Lees Summit,Missouri,United States,Construction Administration,Spring,2017,261-482-1334,364-669-6402,Customer Service,,Weehawken - NJ,United States (USA),Graduate School,Transportation
ac4719,Cassar,Adora,Washington,District of Columbia,United States,Construction Administration,Summer,2020,294-653-6960,,Welcoming Visitors,,Albuquerque - NM,United States (USA),Military Service,Media
lh2710,Hiscoke,Lissy,Delray Beach,Florida,United States,Enterprise Risk Management,Summer,2018,346-593-5681,478-302-8331,Adaptability,,Danvers - MA,United States (USA),Summer classes,Transportation
mh3189,Hallford,Millard,Denver,Colorado,United States,Strategic Communication,Summer,2018,941-615-9669,,Cashier Skills,,Louisville - KY,United States (USA),Other Intentions,Housing/Real Estate
lc6987,Cail,Lesli,Newport Beach,California,United States,Applied Analytics,Spring,2019,240-865-7818,228-203-3118,Active Listening,SQL,Hangzhou - China,China Mainland,Not seeking an internship,Business & Legal Services
wc8347,Chappelle,Wenona,Cincinnati,Ohio,United States,Construction Administration,Summer,2022,775-608-4077,625-272-0521,Empathy,,Franklin Lakes - NJ,United States (USA),Not seeking an internship,Aerospace and Defense
se4489,Elletson,Sunny,Anaheim,California,United States,Negotiation and Conflict Resolution,Spring,2017,783-267-3361,892-350-6641,Conflict Resolution,,Nottingham - United Kingdom,United Kingdom,Summer classes,Finance & Investment
dm5594,Micklewright,Dayna,Tampa,Florida,United States,Negotiation and Conflict Resolution,Summer,2021,613-717-2994,869-193-1559,Adaptability,,Bellevue - WA,United States (USA),Internship,Geospatial/Mapping
jq7226,Quinane,Jess,Chicago,Illinois,United States,Strategic Communication,Fall,2021,243-936-0963,,Referral Marketing,,Tulsa - OK,United States (USA),Still Seeking Internship,Insurance
bc2353,Culkin,Bree,Springfield,Virginia,United States,Sustainability Science,Spring,2016,717-557-7072,,Billing,,Jinan - China,China Mainland,Service Organization,Healthcare
yb1853,Beardmore,Yehudit,Honolulu,Hawaii,United States,Applied Analytics,Fall,2020,255-501-0709,208-459-0451,Leadership,API,Chantilly - VA,United States (USA),Summer classes,Energy
ts4222,Stranaghan,Trey,Sioux Falls,South Dakota,United States,Nonprofit Management,Spring,2022,421-926-7014,,Customer Service,,Toronto - ON - Canada,Canada,Research,Data/Technology
cb8395,Beckles,Cart,New Orleans,Louisiana,United States,Strategic Communication,Summer,2016,812-945-1109,551-517-6780,Referral Marketing,,Murfreesboro - TN,United States (USA),Job,Research & Consulting
bs3141,Sadat,Bradley,Kansas City,Missouri,United States,Construction Administration,Spring,2016,368-290-0921,,Cashier Skills,,Norfolk - VA,United States (USA),Own Venture,Food & Agriculture
df6463,Furnell,Dorena,Chandler,Arizona,United States,Sustainability Management,Spring,2022,641-652-5116,770-688-2134,Adaptability,,Saint Petersburg - FL,United States (USA),Job,Housing/Real Estate
bs7868,Spinetti,Brier,Durham,North Carolina,United States,Wealth Management,Spring,2021,723-158-5514,160-710-0028,Critical Thinking,,Irving - TX,United States (USA),Military Service,Finance & Investment
mc5672,Coats,Milly,Tacoma,Washington,United States,Insurance Management,Fall,2021,505-266-3451,,Conflict Resolution,,"Dongguan, Guangzhou - China",China Mainland,Still Seeking Education,Governance
gm6959,MacDiarmond,Gregory,Washington,District of Columbia,United States,Narrative Medicine,Fall,2017,777-269-6548,,Microsoft Offices,,Dublin - Ireland,Ireland,Research,Media
da9759,Addis,Danila,Houston,Texas,United States,Sports Management,Summer,2017,613-654-7600,,Self Motivation,,New Delhi - India,India,Own Venture,Transportation
ap3447,Pettko,Ashley,Fairbanks,Alaska,United States,Bioethics,Fall,2019,503-425-2301,840-959-9238,Salesforce,,shanghai  - China,China Mainland,Own Venture,Geospatial/Mapping
ia1498,Abelevitz,Ingmar,Milwaukee,Wisconsin,United States,Nonprofit Management,Spring,2021,281-401-1663,,Decision Making,,Scottsdale - AZ,United States (USA),Fellowship,Scientific Research
ch5333,Hanes,Caye,Washington,District of Columbia,United States,Human Capital Management,Spring,2019,730-104-8594,,Presentation,,Long Island City - NY,United States (USA),Graduate School,Environment & Weather
xh9067,Harrema,Xenos,Pittsburgh,Pennsylvania,United States,Enterprise Risk Management,Fall,2019,299-825-3678,,Collaboration,,Bronx - NY,United States (USA),Service Organization,Aerospace and Defense
tk8377,Kaveney,Talyah,Saint Augustine,Florida,United States,Wealth Management,Fall,2021,147-552-1675,,Decision Making,,Cologne - Germany,Germany,Military Service,Business & Legal Services
dc7815,Crannell,Drusie,Winston Salem,North Carolina,United States,Sustainability Science,Spring,2019,950-602-8721,468-744-3093,Customer Needs Analysis,,Shanghai - China,China Mainland,Fellowship,Food & Agriculture
cm5198,MacNucator,Charisse,Toledo,Ohio,United States,Sports Management,Summer,2020,823-600-9679,908-787-2026,Billing,,Houston - TX,United States (USA),Service Organization,Governance
eb2184,Bohin,Engelbert,Harrisburg,Pennsylvania,United States,Construction Administration,Spring,2018,363-815-2985,,Product Knowledge,,Washington - DC,United States (USA),Summer classes,Aerospace and Defense
rc5889,Cappell,Rubetta,Fort Worth,Texas,United States,Sports Management,Summer,2021,834-622-0064,,Conflict Resolution,,Liaocheng - China,China Mainland,Internship,Environment & Weather
